"sequencehash","timestamptime","sourcehash","collecedatsessionhash"
"007a5ee6581c736b55642d573cb5a9aa","03/12/2007 15:29:00","43a351a1b8ba0b43d3125a1cb538371f","7cd3f95e21c9afacd749dc5ccda20ca7"
"015846324bd60a8b0d0b33cdf0a44199","03/12/2007 17:13:00","364e9990f2f4e835a0b953f56bfb2e1f","2ec4ad86f1b5b92b04a25143ea13c2c7"
"042b5eada4cd9780fe7f7dbfd48f0eb5","03/12/2007 17:13:00","ded0b4d99ff0f0884a5040da986f3681","2ec4ad86f1b5b92b04a25143ea13c2c7"
"04a07db4ed80a671e90bc7efaa46fc51","03/12/2007 15:38:00","6eaeb46ebc05a4d97206a3960072272c","7cd3f95e21c9afacd749dc5ccda20ca7"
"0e19b3dbc7e5b59bd67db07e09fcdf38","04/12/2007 14:49:00","5362ff3bd35cfb5426a7b9f067e72505","cb850f82a681942caf9e8e5ed15ea05c"
"0ee26990512675b36948fb74047cd4e3","04/12/2007 12:25:00","d1360758393a81d15476754d2d2760c5","48761514e0093135e96369e1f73d1947"
"1164a1e3c68d6e4b82185fc3925521ad","04/12/2007 11:17:00","d0a4188318989d1d530a7b0e14bbd852","ff9ab64bad1051e40486ff32f855ff8d"
"14c815104426853304a2867b199fbe19","04/12/2007 14:29:00","ff5a707468e9c1da8e0d328313907205","cb850f82a681942caf9e8e5ed15ea05c"
"165a73cb61d60e3cbd4b1af0cc02da30","03/12/2007 00:40:00","c0b7a25004fb35229316dd7fcfc3ede9","0f06d4714d24a070a27c873367761c32"
"177ee4b1e79e77d305b1ce84fd980d91","04/12/2007 12:18:00","3d69dade3760de0ac05428f4abd66326","48761514e0093135e96369e1f73d1947"
"192e33b3e60457856143e56644a84995","03/12/2007 15:29:00","278df21254e6cd9ec8303da93cfda291","7cd3f95e21c9afacd749dc5ccda20ca7"
"2a2def94e1c07a88cf06ea2b7d3a0203","06/12/2007 16:47:00","1ad6e603d1fb00cad2b7e71db0c26eb1","709a01ee94c210f3478a286342a20544"
"2b8ad3c80589a1ad0fdfcda3370918bb","03/12/2007 01:07:00","13e46e424b577c69b2a7c0d17494c7a5","0f06d4714d24a070a27c873367761c32"
"2c2c8039de04ede9e88f6a32049da827","03/12/2007 00:40:00","3f0bc5cad3b1045283789d77ca34f556","0f06d4714d24a070a27c873367761c32"
"2d399404825373f7a77efefa82557dc4","03/12/2007 15:38:00","b82b37ec8f57a082570f5429d7c79aa3","7cd3f95e21c9afacd749dc5ccda20ca7"
"2d4a8fd8ece445bec44e6139c6b20c5d","04/12/2007 12:38:00","6c84bff665d426a202768b5f78b1bc13","48761514e0093135e96369e1f73d1947"
"2ec21edca736927d1340b524146925ee","04/12/2007 11:10:00","fb964a796a392235c50c703d77b047e1","ff9ab64bad1051e40486ff32f855ff8d"
"3312fa42785914fd8de26924f89fed19","04/12/2007 12:25:00","68ce394d53b822012b9de06842bda427","48761514e0093135e96369e1f73d1947"
"35455f31ca79629472db442fd99a6381","04/12/2007 14:49:00","9a7874f54ddd59ce789bf6b2166f037c","cb850f82a681942caf9e8e5ed15ea05c"
"3ddc00aa14c20c519690adc06899c710","04/12/2007 11:17:00","79e0c2ef5a35b0fd03c73ba6747b1db3","ff9ab64bad1051e40486ff32f855ff8d"
"4884b0f9ca4bfe1d5904c6b4bfcc4270","04/12/2007 10:54:00","b3328e9cecb49d1c4b0352716770c0f3","ff9ab64bad1051e40486ff32f855ff8d"
"4e44a220b04c0d144b81ce6f2eed4f0c","03/12/2007 00:50:00","78c0b7c93b6491a6bac81245752cc429","0f06d4714d24a070a27c873367761c32"
"4f9a6d573b94aef130bc1f64d19d0980","06/12/2007 16:47:00","1ad6e603d1fb00cad2b7e71db0c26eb1","709a01ee94c210f3478a286342a20544"
"501ab83a1d1f29d526aeb1fee105d85e","03/12/2007 16:47:00","5d92dc230627afec7ca44c3a62d864f3","2ec4ad86f1b5b92b04a25143ea13c2c7"
"50f3adb649bddd615e2f930bb5993ada","04/12/2007 14:40:00","1ad6e603d1fb00cad2b7e71db0c26eb1","cb850f82a681942caf9e8e5ed15ea05c"
"5625325236349f45e001f6b60eb34aef","04/12/2007 12:10:00","8aca925c04299bd5a4062cd1e7e37a54","48761514e0093135e96369e1f73d1947"
"5725a37a1529a8d43d489b8d033043d1","04/12/2007 14:40:00","0edf147d9b6dde6350b30e4d61a64354","cb850f82a681942caf9e8e5ed15ea05c"
"58fd6c347acb5ecd375e5c32d1acd041","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","0f06d4714d24a070a27c873367761c32"
"5c0a1515653ab8859726aff9e81a3a04","04/12/2007 12:38:00","ee564084bd329420db37506e809f1b55","48761514e0093135e96369e1f73d1947"
"5d4501a46b9949c60c2345304b74704f","03/12/2007 17:05:00","2a0f583b4cefb647d81cbde52f360fbf","2ec4ad86f1b5b92b04a25143ea13c2c7"
"5f0f7bb61071b8823440b54f97452b12","04/12/2007 10:54:00","3ea5a4e5be13a23ee69a0b2c22b41f44","ff9ab64bad1051e40486ff32f855ff8d"
"63d750035e5714a58de522a481df0b07","04/12/2007 12:25:00","cd0472a5e75401a5481a050179bdd7c4","48761514e0093135e96369e1f73d1947"
"6489f212bf1e7b8fa7ae8d70bf7a2a1a","03/12/2007 01:07:00","34e0b98673ceaefc976d39cfeb21530d","0f06d4714d24a070a27c873367761c32"
"64b7de3d65950251a25270e9ae88fe85","04/12/2007 12:18:00","fbd1e543a5cdcd8028286374eabc87cf","48761514e0093135e96369e1f73d1947"
"661bdf8c816d14ef7e516be96c7912fb","03/12/2007 00:50:00","d8189b34460fab7a0f21969ca3559697","0f06d4714d24a070a27c873367761c32"
"6b9860b5c337873f247bd31492eed616","03/12/2007 15:59:00","8a6a5a808b9ac413b2070f322cff998b","7cd3f95e21c9afacd749dc5ccda20ca7"
"71d114d8328ec4c4b67fa8eb2f45c1ae","04/12/2007 14:57:00","8216b910b43e7cd632fc9de702010368","cb850f82a681942caf9e8e5ed15ea05c"
"7525b4ccadd8d6a5293ca113b26c6d8e","04/12/2007 11:10:00","dc8985a12b37d82f6169a35dd5873257","ff9ab64bad1051e40486ff32f855ff8d"
"80217518d299c99f34d664a1756a59ea","04/12/2007 14:57:00","3a1298e05dd25196e0bcd11410ee53ba","cb850f82a681942caf9e8e5ed15ea05c"
"835103e603ebe70c188f6982b819e287","03/12/2007 16:55:00","0ef7ef121d00062b4ae2df2326c02b55","2ec4ad86f1b5b92b04a25143ea13c2c7"
"8a94345f67cbe86c58bd8750e39f8cb3","03/12/2007 16:55:00","6b3dc045e3a98709ca1b0c290714946d","2ec4ad86f1b5b92b04a25143ea13c2c7"
"8d85969615fd65c829505a7dbbeff80e","04/12/2007 12:10:00","4f80c546b5c3657d3d79a13fa57dddaa","48761514e0093135e96369e1f73d1947"
"9862650b7b03f7fa6c5a07212aeade53","03/12/2007 17:05:00","d87e9982e3c759589dfa38a14ba75a00","2ec4ad86f1b5b92b04a25143ea13c2c7"
"99ff2fc893b50228cd228628d2107e35","03/12/2007 16:47:00","cc6d14d284faae7363423baa2f89f09b","2ec4ad86f1b5b92b04a25143ea13c2c7"
"9afec3b38ccc8e05594b97b812fe0605","03/12/2007 00:57:00","e55460c7bfbd94b4803e6ace6cca9717","0f06d4714d24a070a27c873367761c32"
"9d09d8b73f6d05cff7848c1e13d6bbd2","03/12/2007 16:47:00","311242a48cd584912009b9754e6689d0","2ec4ad86f1b5b92b04a25143ea13c2c7"
"9de51765af16d3cf8703e1e4a2d1b032","03/12/2007 15:48:00","c732e28dd274f21103afb40ffdf82d5d","7cd3f95e21c9afacd749dc5ccda20ca7"
"a4030a612bc583d7073b36dd29929ed6","04/12/2007 12:38:00","7aa54518e6a47611c35552c5989d5906","48761514e0093135e96369e1f73d1947"
"a543163bad9aa994d89bf6f4830b04dd","03/12/2007 17:05:00","35b310d39200fd31c8d1291cadc6e267","2ec4ad86f1b5b92b04a25143ea13c2c7"
"a5aaf3dfd4f8b433b440a6e4441c1bf3","04/12/2007 12:10:00","892ecac1ff7987c8d558897340c54111","48761514e0093135e96369e1f73d1947"
"b06fc7e51b2111de9da0636255508303","03/12/2007 15:29:00","40ef2225f2364abb53c4e0a257e27c85","7cd3f95e21c9afacd749dc5ccda20ca7"
"b23766fe4a5e63ce3480396b1512e7c9","04/12/2007 14:49:00","24cfcbb6c9d079cc38db61a37dc1e986","cb850f82a681942caf9e8e5ed15ea05c"
"b4be9853f06e609d02a642f827f7072e","04/12/2007 11:01:00","3ea5a4e5be13a23ee69a0b2c22b41f44","ff9ab64bad1051e40486ff32f855ff8d"
"bde054183a3a60b563959267d2dbd500","03/12/2007 00:40:00","dc1a6106f02d9c2ab6752f783bc774f5","0f06d4714d24a070a27c873367761c32"
"c1046d4c3cf8d531fa42320e7d05be9e","03/12/2007 00:50:00","b4258d2d62afc76f932ee0c9ddf57296","0f06d4714d24a070a27c873367761c32"
"c183d9a8e0bc417fb4f699bef3f48651","04/12/2007 14:40:00","9d8c94d322f87cac0fd11078b3d1294d","cb850f82a681942caf9e8e5ed15ea05c"
"cde4b6a94f4c1223413a34a005461a25","03/12/2007 15:48:00","bd17c673d781ad95de5e7fd53a90e941","7cd3f95e21c9afacd749dc5ccda20ca7"
"d665b10af54c54f645f7891cdf33baac","03/12/2007 15:59:00","4d3a0b8b351ae2327bd7f1572f9a47b5","7cd3f95e21c9afacd749dc5ccda20ca7"
"dad70e09c2b563ebb05f6808e8a98b87","04/12/2007 12:18:00","3dcd7988ce2d2a67cb63edd548486019","48761514e0093135e96369e1f73d1947"
"dc28617d8215d118cb159d5f132eeade","04/12/2007 14:57:00","f18a09d78e2a7dc0436810ca212cae7b","cb850f82a681942caf9e8e5ed15ea05c"
"df8d6750e47a558f4e11ec5b1c7cd6ea","06/12/2007 16:47:00","1ad6e603d1fb00cad2b7e71db0c26eb1","709a01ee94c210f3478a286342a20544"
"dfb0a640b73c8551f1464ec2f56f94df","04/12/2007 11:01:00","3ea5a4e5be13a23ee69a0b2c22b41f44","ff9ab64bad1051e40486ff32f855ff8d"
"e052a3ba55c64e1058af64282f5cffc7","03/12/2007 15:38:00","04f0f98ac342523622722bf00afecb1f","7cd3f95e21c9afacd749dc5ccda20ca7"
"e1cfacc2c06c722777e25d5e98b4025d","04/12/2007 11:17:00","c047fcfc1d60c7432559eaff381043b0","ff9ab64bad1051e40486ff32f855ff8d"
"e81fbf1eda9063d752adf250735d40cb","04/12/2007 11:10:00","cf9f945b3d44e10807b7d959f482b2b9","ff9ab64bad1051e40486ff32f855ff8d"
"e89382ea1a48ac60b0c453d568111259","03/12/2007 00:57:00","cfd1823d2d49990fa3de7b7263cca20b","0f06d4714d24a070a27c873367761c32"
"e94e4a0c18529ce1f7d99f2d8f380593","03/12/2007 15:48:00","8b50661c0b3da7b028ca7d3c6ebe539b","7cd3f95e21c9afacd749dc5ccda20ca7"
"eb7d6f244f5f1e9d55afb65f0074b99e","04/12/2007 14:29:00","f26a3b67af1b0a4e2880254920c0b781","cb850f82a681942caf9e8e5ed15ea05c"
"ebb9eb60689aea47a25c67dba2552730","03/12/2007 16:55:00","575c9adc04a3a4ec723f86d5f9b78bcf","2ec4ad86f1b5b92b04a25143ea13c2c7"
"ed33e8e876326c8b888a0402080f79f6","03/12/2007 15:59:00","51de8f744eefd46cfc6d94afb3da9f2e","7cd3f95e21c9afacd749dc5ccda20ca7"
"ef1f24cc793cb961915eb4a68962f7ac","04/12/2007 14:29:00","403eb92034f2a8776bcac164ffc593f3","cb850f82a681942caf9e8e5ed15ea05c"
"f059526c5cf2857c1b95f28cb6fba703","04/12/2007 10:54:00","36a8da923c6936a349d09758761c4819","ff9ab64bad1051e40486ff32f855ff8d"
"f6cce8c70b8436f6b5758eb3834ce39f","04/12/2007 11:01:00","3ea5a4e5be13a23ee69a0b2c22b41f44","ff9ab64bad1051e40486ff32f855ff8d"
"f7882cfb436587e7ee7c10cb4826f331","03/12/2007 17:13:00","0e88ea502f01f69add202c983d3a5e79","2ec4ad86f1b5b92b04a25143ea13c2c7"
"fcd7bb554f874d5d26ae8f109c0eaf6b","03/12/2007 01:07:00","4ac5474ef032482790d25cac77345ba2","0f06d4714d24a070a27c873367761c32"
