"sequencehash","timestamptime","sourcehash","experimentalunithash","grouphash"
"012d0d8d6db166b6db15b3a5cc5141a4","03/12/2007 01:07:00","34e0b98673ceaefc976d39cfeb21530d","c0b290422c3334d3e2880f9b41c77ab1","56d7bab60c941d2ef4b2735540c0b457"
"06c75d013604f5a467f53cfb8190a0c1","04/12/2007 11:17:00","c047fcfc1d60c7432559eaff381043b0","8db306fa4c93fdb68d89cca1e04f53be","7e229a8f82195cfbe9a1abdbc9966cfa"
"0706d10754b598723aeb2071f6ea997e","04/12/2007 10:54:00","36a8da923c6936a349d09758761c4819","8db306fa4c93fdb68d89cca1e04f53be","d84df9d489c84131ea61ce5bddbd7018"
"0ddd8871bd69f8137c0bb403463a11da","04/12/2007 14:49:00","9a7874f54ddd59ce789bf6b2166f037c","b6d63dc5b360d72996be0abca4a52574","26e43ba0e955afff549d29500a65c710"
"0f37b5e3800c3f6956a0cee1f11e8a76","03/12/2007 17:05:00","35b310d39200fd31c8d1291cadc6e267","02a2f9c9ae9afa1e2d90565b11d5b29b","75e36c94b96b4070122b8246a2cc59e3"
"1223d297566be24b6391791adf84b151","06/12/2007 16:47:00","1ad6e603d1fb00cad2b7e71db0c26eb1","ee8988c76f84da3ff51d905cb68d5435","cec30170b94e7db106c163abb80830ae"
"1ab686bdb355f1b6e34882307027c510","03/12/2007 16:55:00","575c9adc04a3a4ec723f86d5f9b78bcf","02a2f9c9ae9afa1e2d90565b11d5b29b","551840b1aa6ba6aadc175083b45f8d21"
"1b5d623be78ade7513368a600c14ab20","03/12/2007 00:40:00","3f0bc5cad3b1045283789d77ca34f556","c0b290422c3334d3e2880f9b41c77ab1","211085d7f242f2ce43eeb50f1ebd1509"
"1f01a47103e795a9ccbe80544445583b","03/12/2007 16:47:00","311242a48cd584912009b9754e6689d0","02a2f9c9ae9afa1e2d90565b11d5b29b","150f8eea4d6d71c0db29e8ef3bd1e549"
"1f665cfb0b37070754bad8ba23d0611c","04/12/2007 14:40:00","0edf147d9b6dde6350b30e4d61a64354","b6d63dc5b360d72996be0abca4a52574","bb4f3db4c7552045431b5e287a32f7d8"
"2b0436084d2d9ec1db0fb07a87445b3b","03/12/2007 00:57:00","ec2fa6ab697465fe74ca1d31898d17d0","c0b290422c3334d3e2880f9b41c77ab1","2c2a1a9bcd6dc930cba1ace766a93e93"
"3143f6a7e75bfb0ffb73eee34fcb9e7d","03/12/2007 15:48:00","bd17c673d781ad95de5e7fd53a90e941","553065962c72a797e3e44ab8e90c8317","6d7cc0745be0a1bdcba82f4f902b7c60"
"38efce1a9014c7a0ebe6e0e836210a81","03/12/2007 15:29:00","40ef2225f2364abb53c4e0a257e27c85","553065962c72a797e3e44ab8e90c8317","f85c2a08254c613810abae9158d306e1"
"401f63323718c18da76975e939df5bd5","03/12/2007 00:40:00","dc1a6106f02d9c2ab6752f783bc774f5","c0b290422c3334d3e2880f9b41c77ab1","bf893af907596515ce6349e56ee2aafb"
"479661b1fd82ddd98d8734879443e38c","03/12/2007 15:48:00","c732e28dd274f21103afb40ffdf82d5d","553065962c72a797e3e44ab8e90c8317","afb4e911f7c63626a79c13b0a891d654"
"494df3bc4a30f3777e7e68c864081c50","04/12/2007 14:29:00","ff5a707468e9c1da8e0d328313907205","b6d63dc5b360d72996be0abca4a52574","88d93e995941a5eee9d8c961f7f12c70"
"4dce16a8b6a83d012379341d3d198a31","04/12/2007 14:57:00","8216b910b43e7cd632fc9de702010368","b6d63dc5b360d72996be0abca4a52574","a731644536b927b6741382809ce43c44"
